0,HeartTeleport,320,304,,,,,,
0,SansText,Use PC,,,,,,,
0,SET,Loop,5,,,,,,
0,:RndAttack,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,JMPZ,End,$Loop,,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,4,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack5,,,,,,,
0,JMPABS,Attack6,,,,,,,
0,JMPABS,Attack7,,,,,,,
0,JMPABS,Attack8,,,,,,,
0,JMPABS,Attack9,,,,,,,
0,:Attack5,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,PlatformRepeat,552,346,51,2,120,8,140,
1,GasterBlaster,1,191,306,191,306,0,0.6,0.26666
1,GasterBlaster,1,321,166,321,166,90,0.6,0.26666
1,GasterBlaster,1,449,306,449,306,180,0.6,0.26666
1,GasterBlaster,1,321,446,321,446,270,0.6,0.26666
1,BoneVRepeat,121,364,30,2,0,25,16,
0.2,HeartMode,0,,,,,,,
0,GasterBlaster,0,133,0,133,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,153,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,173,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,193,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,213,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,233,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,253,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,273,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,293,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,313,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,333,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,353,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,373,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,393,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,413,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,433,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,453,151,90,0.1,0.4
0.1,GasterBlaster,0,133,0,473,151,90,0.1,0.4
0,RND,Side,2,,,,,,
0,JMPZ,Attack5Other,$Side,,,,,,
0,BoneV,521,280,35,2,240,,,
0,BoneV,1,319,65,0,240,,,
1.5,JMPABS,RndAttack,,,,,,,
0,:Attack5Other,,,,,,,,
0,BoneV,119,280,35,0,240,,,
0,BoneV,639,319,65,2,240,,,
1.5,JMPABS,RndAttack,,,,,,,
0,:Attack6,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,RND,Rot,2,,,,,,
0,JMPZ,Attack6Other,$Rot,,,,,,
0,GasterBlaster,1,191,306,191,306,0,0.6,0.26666
0,GasterBlaster,1,321,166,321,166,90,0.6,0.26666
0,GasterBlaster,1,449,306,449,306,180,0.6,0.26666
0,GasterBlaster,1,321,446,321,446,270,0.6,0.26666
1.2,JMPABS,RndAttack,,,,,,,
0,:Attack7,,,,,,,,
0,GasterBlaster,1,191,176,191,176,45,0.66666,0.26666
0,GasterBlaster,1,451,176,451,176,135,0.66666,0.26666
0,GasterBlaster,1,451,436,451,436,225,0.66666,0.26666
0,GasterBlaster,1,191,436,191,436,315,0.66666,0.26666
0,HeartMode,0,,,,,,,
0,GasterBlaster,1,191,176,191,176,45,0.66666,0.26666
0,GasterBlaster,1,451,176,451,176,135,0.66666,0.26666
0,GasterBlaster,1,451,436,451,436,225,0.66666,0.26666
0,GasterBlaster,1,191,436,191,436,315,0.66666,0.26666
0,GasterBlaster,1,451,432,181,73,94,0.66666,0.26666
0,GasterBlaster,1,451,583,294,223,391,0,66666,0.26666
2,SansSlam,1,,,,,,,,
1,GasterBlaster,1,451,225,300,320,90,0.66666,0.26666
1,GasterBlaster,1,451,225,300,320,91,0,66666,0.26666
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,0.4,0.2
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.2,0.2
1,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,0,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,90,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartX,$HeartX,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,180,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,270,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,45,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartX,$HeartX,200,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
