0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,
0,SansText,Stop twerking or big toilet?,,,,,,,
0.3,CombatZoneSpeed,99999,,,,,,,
0,BoneVRepeat,128,366,20,0,180,8,120
0,BoneVRepeat,128,366,20,0,180,8,120
0,BoneVRepeat,503,257,95,2,180,8,120
0,BoneVRepeat,128,366,20,0,180,8,120
0,BoneVRepeat,503,257,95,2,180,8,120
0,BoneVRepeat,128,366,20,0,180,8,120
0,BoneVRepeat,503,257,95,2,180,8,120
0,BoneVRepeat,128,366,20,0,180,8,120
5,BoneStab,20,30,0.16666,1,,,,
2.5,EndAttack,,,,,,,


